_id,name,slug,parent_category
68dd573c8d5c1dd8f9cf5c78,https://www.lottemart.vn/vi-nsg/category/ba-chi-c268,ba-chi,Ba Chỉ,68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c79,https://www.lottemart.vn/vi-nsg/category/bit-tet-c269,bit-tet,Bít Tết,68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c7a,https://www.lottemart.vn/vi-nsg/category/thit-than-phi-le-c270,thit-than-phi-le,"Thịt Thăn, Phi Lê",68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c7b,https://www.lottemart.vn/vi-nsg/category/nam-bo-thit-bo-xay-c271,nam-bo-thit-bo-xay,"Nạm Bò, Thịt Bò Xay",68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c7c,https://www.lottemart.vn/vi-nsg/category/bap-bo-c272,bap-bo,Bắp Bò,68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c7d,https://www.lottemart.vn/vi-nsg/category/suon-bo-c273,suon-bo,Sườn Bò,68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd573c8d5c1dd8f9cf5c7e,https://www.lottemart.vn/vi-nsg/category/thit-bo-khac-c274,thit-bo-khac,Thịt Bò Khác,68dd56a18d5c1dd8f9cf5c69,2025-10-01T16:30:52.128Z,2025-10-01T16:30:52.128Z
68dd57918d5c1dd8f9cf5c7f,https://www.lottemart.vn/vi-nsg/category/thuy-san-tuoi-song-c510,thuy-san-tuoi-song,Thủy Sản Tươi Sống,68dd56228d5c1dd8f9cf5c48,2025-10-01T16:32:17.205Z,2025-10-01T16:32:17.205Z
68dd57918d5c1dd8f9cf5c80,https://www.lottemart.vn/vi-nsg/category/thuy-san-dong-lanh-c626,thuy-san-dong-lanh,Thủy Sản Đông Lạnh,68dd56228d5c1dd8f9cf5c48,2025-10-01T16:32:17.205Z,2025-10-01T16:32:17.205Z
68dd57918d5c1dd8f9cf5c81,https://www.lottemart.vn/vi-nsg/category/thuy-san-kho-c511,thuy-san-kho,Thủy Sản Khô,68dd56228d5c1dd8f9cf5c48,2025-10-01T16:32:17.205Z,2025-10-01T16:32:17.205Z
68dd57ad8d5c1dd8f9cf5c82,https://www.lottemart.vn/vi-nsg/category/ca-song-c621,ca-song,Cá Sông,68dd57918d5c1dd8f9cf5c7f,2025-10-01T16:32:45.477Z,2025-10-01T16:32:45.477Z
68dd57ad8d5c1dd8f9cf5c83,https://www.lottemart.vn/vi-nsg/category/ca-bien-c622,ca-bien,Cá Biển,68dd57918d5c1dd8f9cf5c7f,2025-10-01T16:32:45.477Z,2025-10-01T16:32:45.477Z
68dd57ad8d5c1dd8f9cf5c84,https://www.lottemart.vn/vi-nsg/category/muc-bach-tuoc-c623,muc-bach-tuoc,"Mực, Bạch Tuộc",68dd57918d5c1dd8f9cf5c7f,2025-10-01T16:32:45.477Z,2025-10-01T16:32:45.477Z
68dd57ad8d5c1dd8f9cf5c85,https://www.lottemart.vn/vi-nsg/category/tom-cua-oc-c624,tom-cua-oc,"Tôm, Cua, Ốc",68dd57918d5c1dd8f9cf5c7f,2025-10-01T16:32:45.477Z,2025-10-01T16:32:45.477Z
68dd57ad8d5c1dd8f9cf5c86,https://www.lottemart.vn/vi-nsg/category/thuy-san-tuoi-khac-c625,thuy-san-tuoi-khac,Thủy Sản Tươi Khác,68dd57918d5c1dd8f9cf5c7f,2025-10-01T16:32:45.477Z,2025-10-01T16:32:45.477Z
68dd57e58d5c1dd8f9cf5c87,https://www.lottemart.vn/vi-nsg/category/trung-ga-c286,trung-ga,Trứng Gà,68dd56228d5c1dd8f9cf5c49,2025-10-01T16:33:41.620Z,2025-10-01T16:33:41.620Z
68dd57e58d5c1dd8f9cf5c88,https://www.lottemart.vn/vi-nsg/category/trung-vit-c287,trung-vit,Trứng Vịt,68dd56228d5c1dd8f9cf5c49,2025-10-01T16:33:41.620Z,2025-10-01T16:33:41.620Z
68dd57e58d5c1dd8f9cf5c89,https://www.lottemart.vn/vi-nsg/category/trung-khac-c288,trung-khac,Trứng Khác,68dd56228d5c1dd8f9cf5c49,2025-10-01T16:33:41.620Z,2025-10-01T16:33:41.620Z
68dd58098d5c1dd8f9cf5c8a,https://www.lottemart.vn/vi-nsg/category/tao-le-c310,tao-le,"Táo, Lê",68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c8b,https://www.lottemart.vn/vi-nsg/category/dua-hau-dua-luoi-c304,dua-hau-dua-luoi,"Dưa Hấu, Dưa Lưới",68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c8c,https://www.lottemart.vn/vi-nsg/category/cam-buoi-quyt-c305,cam-buoi-quyt,"Cam, Bưởi, Quýt",68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c8d,https://www.lottemart.vn/vi-nsg/category/chuoi-c306,chuoi,Chuối,68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c8e,https://www.lottemart.vn/vi-nsg/category/xoai-c307,xoai,Xoài,68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c8f,https://www.lottemart.vn/vi-nsg/category/nho-cherry-dau-kiwi-c311,nho-cherry-dau-kiwi,"Nho, Cherry, Dâu, Kiwi",68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.226Z,2025-10-01T16:34:17.226Z
68dd58098d5c1dd8f9cf5c90,https://www.lottemart.vn/vi-nsg/category/trai-cay-khac-c308,trai-cay-khac,Trái Cây Khác,68dd56228d5c1dd8f9cf5c4a,2025-10-01T16:34:17.227Z,2025-10-01T16:34:17.227Z
68dd585e8d5c1dd8f9cf5c91,https://www.lottemart.vn/vi-nsg/category/banh-bao-gio-cha-dau-hu-c168,banh-bao-gio-cha-dau-hu,"Bánh Bao, Giò Chả, Đậu Hủ",68dd56228d5c1dd8f9cf5c4b,2025-10-01T16:35:42.084Z,2025-10-01T16:35:42.084Z
68dd585e8d5c1dd8f9cf5c92,https://www.lottemart.vn/vi-nsg/category/ca-vien-xuc-xich-c172,ca-vien-xuc-xich,"Cá Viên, Xúc Xích",68dd56228d5c1dd8f9cf5c4b,2025-10-01T16:35:42.084Z,2025-10-01T16:35:42.084Z
68dd585e8d5c1dd8f9cf5c93,https://www.lottemart.vn/vi-nsg/category/pizza-com-lau-c178,pizza-com-lau,"Pizza, Cơm, Lẩu",68dd56228d5c1dd8f9cf5c4b,2025-10-01T16:35:42.084Z,2025-10-01T16:35:42.084Z
68dd585e8d5c1dd8f9cf5c94,https://www.lottemart.vn/vi-nsg/category/rau-dong-lanh-c728,rau-dong-lanh,"Rau, Trái Cây Đông Lạnh",68dd56228d5c1dd8f9cf5c4b,2025-10-01T16:35:42.084Z,2025-10-01T16:35:42.084Z
68dd585e8d5c1dd8f9cf5c95,https://www.lottemart.vn/vi-nsg/category/kim-chi-c729,kim-chi,Kim Chi,68dd56228d5c1dd8f9cf5c4b,2025-10-01T16:35:42.084Z,2025-10-01T16:35:42.084Z
