ancestor,descendant,depth
68dd56b38d5c1dd8f9cf5c70,68dd56b38d5c1dd8f9cf5c70,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c70,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c70,2
68dd56b38d5c1dd8f9cf5c71,68dd56b38d5c1dd8f9cf5c71,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c71,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c71,2
68dd56b38d5c1dd8f9cf5c72,68dd56b38d5c1dd8f9cf5c72,0
68dd56a18d5c1dd8f9cf5c6b,68dd56b38d5c1dd8f9cf5c72,1
68dd56228d5c1dd8f9cf5c47,68dd56b38d5c1dd8f9cf5c72,2
68dd56ff8d5c1dd8f9cf5c73,68dd56ff8d5c1dd8f9cf5c73,0
68dd56a18d5c1dd8f9cf5c6a,68dd56ff8d5c1dd8f9cf5c73,1
68dd56228d5c1dd8f9cf5c47,68dd56ff8d5c1dd8f9cf5c73,2
68dd56ff8d5c1dd8f9cf5c74,68dd56ff8d5c1dd8f9cf5c74,0
68dd56a18d5c1dd8f9cf5c6a,68dd56ff8d5c1dd8f9cf5c74,1
68dd56228d5c1dd8f9cf5c47,68dd56ff8d5c1dd8f9cf5c74,2
68dd56ff8d5c1dd8f9cf5c75,68dd56ff8d5c1dd8f9cf5c75,0
68dd56a18d5c1dd8f9cf5c6a,68dd56ff8d5c1dd8f9cf5c75,1
68dd56228d5c1dd8f9cf5c47,68dd56ff8d5c1dd8f9cf5c75,2
68dd56ff8d5c1dd8f9cf5c76,68dd56ff8d5c1dd8f9cf5c76,0
68dd56a18d5c1dd8f9cf5c6a,68dd56ff8d5c1dd8f9cf5c76,1
68dd56228d5c1dd8f9cf5c47,68dd56ff8d5c1dd8f9cf5c76,2
68dd56ff8d5c1dd8f9cf5c77,68dd56ff8d5c1dd8f9cf5c77,0
68dd56a18d5c1dd8f9cf5c6a,68dd56ff8d5c1dd8f9cf5c77,1
68dd56228d5c1dd8f9cf5c47,68dd56ff8d5c1dd8f9cf5c77,2
68dd573c8d5c1dd8f9cf5c78,68dd573c8d5c1dd8f9cf5c78,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c78,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c78,2
68dd573c8d5c1dd8f9cf5c79,68dd573c8d5c1dd8f9cf5c79,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c79,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c79,2
68dd573c8d5c1dd8f9cf5c7a,68dd573c8d5c1dd8f9cf5c7a,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c7a,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c7a,2
68dd573c8d5c1dd8f9cf5c7b,68dd573c8d5c1dd8f9cf5c7b,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c7b,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c7b,2
68dd573c8d5c1dd8f9cf5c7c,68dd573c8d5c1dd8f9cf5c7c,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c7c,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c7c,2
68dd573c8d5c1dd8f9cf5c7d,68dd573c8d5c1dd8f9cf5c7d,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c7d,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c7d,2
68dd573c8d5c1dd8f9cf5c7e,68dd573c8d5c1dd8f9cf5c7e,0
68dd56a18d5c1dd8f9cf5c69,68dd573c8d5c1dd8f9cf5c7e,1
68dd56228d5c1dd8f9cf5c47,68dd573c8d5c1dd8f9cf5c7e,2
68dd57918d5c1dd8f9cf5c7f,68dd57918d5c1dd8f9cf5c7f,0
68dd56228d5c1dd8f9cf5c48,68dd57918d5c1dd8f9cf5c7f,1
68dd57918d5c1dd8f9cf5c80,68dd57918d5c1dd8f9cf5c80,0
68dd56228d5c1dd8f9cf5c48,68dd57918d5c1dd8f9cf5c80,1
68dd57918d5c1dd8f9cf5c81,68dd57918d5c1dd8f9cf5c81,0
68dd56228d5c1dd8f9cf5c48,68dd57918d5c1dd8f9cf5c81,1
68dd57ad8d5c1dd8f9cf5c82,68dd57ad8d5c1dd8f9cf5c82,0
68dd57918d5c1dd8f9cf5c7f,68dd57ad8d5c1dd8f9cf5c82,1
